Date,Ticker,Close,High,Low,Open,Volume,Sentiment_Score,Returns,MA20,MA50,Momentum_30,Volatility,Trend_Score,Momentum_30_scaled,Volatility_scaled,Sentiment_Score_scaled,Trend_Score_scaled,Growth_Score,BlueChip_Score,Dividend_Score
2026-07-16,AAPL,332.97283935546875,334.3915986652446,326.50841333986017,327.72736328456057,62970600,0.7735849056603774,0.017587781993612772,303.3668640136719,301.3760650634766,0.057296938807745335,0.021700743836993323,2,0.36992583398343043,0.19464205247045524,0.3167320827966771,1.0,0.47998254183071837,0.717162803850821,0.7660253903241078
2026-07-16,AMZN,249.88999938964844,258.0799865722656,248.0,255.1199951171875,45343700,1.2027027027027026,-0.019885500434225545,241.56999893188475,252.65940002441405,-0.025845898596502992,0.021021773555747077,0,0.322614163051564,0.18636797886561424,0.9010597462554759,0.0,0.43162500540242477,0.5957707323303971,0.587027959818288
2026-07-16,GOOGL,354.2322998046875,375.02892981037553,352.07368364698067,372.8203579699616,41158500,1.1857142857142857,-0.04437624006915575,356.52283782958983,371.0755249023438,-0.019837767832918463,0.02157457028206166,0,0.3260330348928059,0.19310447518714202,0.8779266996348849,0.0,0.4263945273368684,0.5861362198156086,0.579033102333406
2026-07-16,JNJ,248.7432098388672,252.30564190006208,245.09122311970796,247.67845384783817,11097600,0.9354838709677419,0.011942329045300903,249.65173263549804,236.57851318359374,0.12149490596554813,0.018493470198564274,2,0.40645709983255024,0.15555754628777035,0.5371891339059287,1.0,0.5643852900880537,0.7989337216566705,0.8296590536373005
2026-07-16,JPM,343.1499938964844,349.3399963378906,341.1099853515625,349.2799987792969,12432400,0.7,-0.010838574056478478,333.8901702880859,316.42665222167966,0.1453212379485922,0.015176846945252433,2,0.4200152560548875,0.11514048286776349,0.21653186670980262,1.0,0.47496718804038457,0.7189033668658353,0.7857361319080788
2026-07-16,META,664.5399780273438,681.9000244140625,660.1599731445312,677.280029296875,15816000,1.1549295774647887,-0.02461437464787497,601.3319915771484,603.3998095703125,0.11298948745530679,0.03352420949475173,0,0.40161716924733565,0.3387252735166546,0.8360073088156894,0.0,0.4516107772683746,0.515312083238045,0.4978388250048106
2026-07-16,MSFT,400.3463439941406,405.2271399033625,391.31333055964967,397.56157784187184,37047400,1.2608695652173914,0.013826036185691448,379.69721069335935,400.89284362792966,-0.0911150549749149,0.022172512419473118,0,0.2854733467770142,0.20039112291389877,0.9802652863151087,0.0,0.4368162592830397,0.613923136728973,0.5958574958060723
2026-07-16,NVDA,207.39999389648438,211.0800018310547,205.85000610351562,210.1699981689453,122986100,1.2753623188405796,-0.02400002872242646,202.21699905395508,209.68210174560548,-0.06811903578099476,0.026635610145901573,0,0.29855902110342397,0.25477936362789066,1.0,0.0,0.449279510551712,0.5980882545488437,0.5726103181860547
2026-07-16,TSLA,391.05999755859375,395.30999755859375,385.32000732421875,392.3500061035156,29269100,0.5409836065573771,-0.00861936310433542,398.62899627685545,409.9703985595703,-0.07712274845172296,0.036238679343363,0,0.2934355407851927,0.3718043698274778,0.0,0.0,0.14671777039259634,0.2512782520690089,0.3140978150862611
2026-07-16,V,364.4629211425781,364.4629211425781,356.4477822451955,357.3760808599296,9073200,1.1176470588235294,0.028157875638287644,344.25196838378906,331.68920471191404,0.15069959409985545,0.014780653930338795,2,0.4230757604149413,0.11031239206958846,0.7852398804879444,1.0,0.6471098443538539,0.8914470073185479,0.9018917800627946
