Date,Ticker,Close,High,Low,Open,Volume,Sentiment_Score,Returns,MA20,MA50,Momentum_30,Volatility,Trend_Score,Momentum_30_scaled,Volatility_scaled,Sentiment_Score_scaled,Trend_Score_scaled,InvVolatility,Growth_Score,BlueChip_Score,Dividend_Score
2026-09-08,MSFT,493.95001220703125,495.19000244140625,490.1499938964844,493.010009765625,18863500,1.2608695652173914,-0.01150690386138653,494.78130493164065,445.9957006835937,0.2718578049849161,0.032428782085389546,2,0.49201973181463243,0.3253760058323538,0.9802652863151087,1.0,0.6746239941676462,0.7400894518018488,0.863929183561591,0.8333650543468449
2026-09-08,NVDA,225.72999572753906,233.7100067138672,224.85000610351562,233.11000061035156,122580300,1.2753623188405796,-0.020098996659771884,220.49100036621093,211.23039947509767,0.1486947332833326,0.027164355185071234,2,0.4219349127102336,0.26122258523215636,1.0,1.0,0.7387774147678436,0.7109674563551167,0.8955109659071374,0.8693887073839219
2026-09-08,AMZN,256.9700012207031,257.989990234375,254.75,256.67999267578125,29349000,1.2027027027027026,-0.005957249184734059,261.14099884033203,254.43499938964842,0.11054929728393037,0.033933347979880894,2,0.4002286013561773,0.34371096431457326,0.9010597462554759,1.0,0.6562890356854267,0.6704322245547314,0.8328335381508134,0.8083564670938086
2026-09-08,V,368.6400146484375,373.5,367.44000244140625,371.6000061035156,4929000,1.1176470588235294,-0.017143446690534803,372.0925048828125,363.4423211669922,0.018742881527963107,0.011710219977363658,2,0.3479870004283444,0.0728952222038205,0.7852398804879444,1.0,0.9271047777961795,0.6095654643605555,0.9064138752648552,0.9206003649956787
2026-09-08,JNJ,269.1199951171875,271.989990234375,266.8800048828125,271.2799987792969,8084700,0.9354838709677419,-0.022199671639166363,267.9776153564453,261.0376837158203,0.016910172083772768,0.014060147354004137,2,0.34694411388700985,0.10153193465668403,0.5371891339059287,1.0,0.8984680653433159,0.5346287971152835,0.820543966309105,0.8566718594528437
2026-09-08,GOOGL,338.3599853515625,339.67999267578125,333.2200012207031,335.4200134277344,22864800,1.1857142857142857,-0.00029547392909179404,342.4546295166016,348.37357421875,0.036800237594638574,0.021242891490773193,0,0.3582623736871651,0.18906237517659805,0.8779266996348849,0.0,0.8109376248234019,0.442509196734048,0.5877530598198262,0.581054152338678
2026-09-08,JPM,353.510009765625,358.54998779296875,353.2300109863281,357.1000061035156,5631400,0.7,-0.014304050505466459,358.02949981689454,350.1455316162109,-0.007551943709206754,0.011115707249534265,2,0.3330241707045617,0.06565036425388798,0.21653186670980262,1.0,0.9343496357461121,0.43147164536522165,0.7386994143113856,0.8104811912150165
2026-09-08,META,613.47998046875,624.7999877929688,609.739990234375,616.2100219726562,18871000,1.1549295774647887,-0.005334304454358008,577.8089965820312,596.7561950683594,0.03302067037027667,0.02587109620000791,0,0.3561116455382754,0.24546265747843724,0.8360073088156894,0.0,0.7545373425215628,0.4288580154138445,0.552617129653332,0.5444701330239192
2026-09-08,AAPL,316.2200012207031,320.70001220703125,314.8999938964844,317.1000061035156,35423000,0.7735849056603774,-0.011719848691107093,313.53799896240236,315.6414587402344,-0.06060159084649508,0.018566284532791945,0,0.30283675436456114,0.15644467619280109,0.3167320827966771,0.0,0.8435553238071989,0.2464380020212837,0.4324417543618827,0.48512407846293487
2026-09-08,TSLA,368.1600036621094,370.0,355.75,357.1000061035156,50978200,0.5409836065573771,0.039765074626634034,350.30349884033205,357.7167987060547,0.19060863530408678,0.02940802975658046,0,0.4457856351751743,0.28856447850971256,0.0,0.0,0.7114355214902874,0.22289281758758714,0.284574208596115,0.3557177607451437
