Return,Risk,Sharpe
0.3046594401176217,0.2709889522738589,1.1242504078532904
0.18944949616375156,0.19843715448831667,0.954707784700197
0.19127644050835918,0.20488210004514104,0.9335927368287217
0.3637802089434189,0.312119885431868,1.1655143613809498
0.22317342144340613,0.23087070538051294,0.9666597634185748
0.28356950458955055,0.23830179544897268,1.189959580687553
0.2859205308835116,0.238485927559668,1.198898961499419
0.2897455533499451,0.25290707846105737,1.1456601179889876
0.2954698981996525,0.248973505480912,1.1867523720201838
0.3123851800055771,0.262060038294102,1.1920366876196389
0.4810817786745932,0.3740855364638054,1.2860207941269608
0.32618565341500044,0.24525317792770168,1.3299956239961828
0.27101365308019915,0.2502844125932341,1.082822738628372
0.2735667345970202,0.23994220526574447,1.1401359518807264
0.1912523707285853,0.22372432751696003,0.8548572828499703
0.2312355477992996,0.23536517943564678,0.9824543645485322
0.22763515378562119,0.20584566962818163,1.1058534978986823
0.24830703833209536,0.2650564420037283,0.9368081622728591
0.31257302025126765,0.24963132928751203,1.25213858830701
0.26067127539256185,0.25529249434959683,1.0210690919710288
0.30144974460007434,0.27082179421211955,1.1130926352402999
0.25228562606271826,0.24745016797638392,1.0195411388316205
0.3017413652762213,0.25335768059982383,1.190969875323492
0.3409122537410288,0.294423650179611,1.1578969744212388
0.215075687892325,0.24568630110466105,0.8754077330534759
0.23846349523928828,0.2574916732582885,0.9261017733963259
0.2771289521164103,0.26484379585934775,1.0463864226730344
0.3835878867514957,0.3101412481685373,1.2368167375886936
0.25976361306298495,0.23921191476745937,1.085914191671866
0.2844131872234516,0.28985464811262,0.9812269324483829
0.3487113324479067,0.31378095101104825,1.1113209113692455
0.2076890089714557,0.2016002466826318,1.0302021569368867
0.22750770421216576,0.21787304592018156,1.0442214329509758
0.2437616075457793,0.24046197046080114,1.0137220745494808
0.2884242897512439,0.23176525043033477,1.244467361762414
0.4356966064820716,0.33605565453215563,1.2965013401980467
0.27240068572585574,0.23541185853455732,1.1571238909609503
0.30460473256913256,0.2680438573389365,1.1363988549976936
0.24076320663623058,0.21405703799820025,1.1247619274179383
0.2723833172499274,0.2250306727440301,1.210427511629761
0.3300869763619033,0.254182397945799,1.298622481452433
0.19028167128201742,0.20115510449234644,0.9459450296438153
0.3279746463418003,0.25215003694297305,1.300712267656641
0.18781879584003802,0.22495297582342097,0.8349246999402586
0.2907153833667656,0.23527268205723847,1.2356529488452839
0.3522934905556358,0.2843140375268843,1.2390998827214907
0.20486951325654196,0.2503727506296751,0.8182580282451075
0.318056704845105,0.2571743226508557,1.23673585125722
0.2729117248845989,0.23467296900978799,1.1629448676435163
0.1865396733132525,0.2011131894417179,0.9275357515391164
0.21972529798006937,0.19634953243724929,1.119051801410786
0.3164079866001106,0.2957340264805107,1.0699072756883534
0.2562275546704522,0.23542958918060616,1.0883404909392729
0.376726551097829,0.28909314579706574,1.3031320755085598
0.23544991293226472,0.2494813791599575,0.943757460877686
0.20514325296138952,0.20616350430180708,0.9950512514624121
0.2902749132909511,0.2535259857587547,1.144951324899552
0.16676394543403578,0.1937693982356531,0.8606309714149261
0.2603326972861093,0.23282231184774194,1.118160434109761
0.26912638063754546,0.2376093712884918,1.132642114147878
0.2948976094567764,0.2580895503439152,1.1426173940936892
0.28759390697902626,0.301936677408691,0.9524974224636814
0.19420674142879857,0.2028405758096581,0.9574353684099114
0.33981496459681865,0.26365586936859986,1.288857954919053
0.3402454418098616,0.29678187652082094,1.146449526495906
0.2594067597094452,0.2386303518670419,1.0870652357499742
0.20022223727224106,0.2115585362346534,0.9464153081970726
0.337550941015083,0.27281783998077025,1.2372759092252745
0.34750595074049984,0.2860513248690894,1.2148377599702955
0.38270152608759145,0.31561472308149907,1.2125591681880095
0.20737865139924527,0.20198812253279444,1.0266873556665475
0.22447199300701098,0.21960580167599408,1.0221587557973375
0.26363963861497697,0.22853744385637342,1.153594939044929
0.3782001988430391,0.33230955684828634,1.1380960644947802
0.2638889654228248,0.22811697515714088,1.1568142407685442
0.18705181578537533,0.2074845060585405,0.9015218501790191
0.3113949039358277,0.2529564945018751,1.231021581592638
0.2781641104578519,0.22718593249222696,1.2243896768008253
0.2793156166399953,0.2603728626069592,1.0727524129948627
0.3328056785503528,0.2563098276269833,1.2984507134650203
0.32701002222425585,0.25220147627944045,1.2966221572070702
0.35159124333124897,0.29271450105576907,1.2011405040171292
0.16651136537457153,0.2170534340816547,0.767144579301752
0.3291037060786668,0.2900536901449395,1.1346303021148052
0.3452544308829788,0.27012593266424656,1.278123975279757
0.21715879674567565,0.25566403859144365,0.8493912477565914
0.31269337394882724,0.28179359152282746,1.1096539572068185
0.37349534258429035,0.29088942728500694,1.283977028901597
0.31200662546174435,0.2674553842163307,1.1665744788647758
0.1938295461136342,0.20339049559713296,0.9529921520893647
0.18353504247111546,0.2211408759830482,0.8299462578107203
0.2858370348943484,0.2631299978701109,1.0862958887547531
0.27849623026257564,0.24136770301437335,1.1538255814034544
0.27575923438405026,0.2426143116703064,1.1366156946206256
0.19660605389256736,0.21145271819975528,0.9297873092690038
0.1886985063240602,0.22270509487835,0.8473021527735345
0.28333122783664966,0.23531694749172957,1.204040894022763
0.2414080848548943,0.2284350162992463,1.0567910680499764
0.2926486304901657,0.23133495026791898,1.2650428746336717
0.31367583176975355,0.24318454307255719,1.2898674718654484
0.21233506873608926,0.25399507445678626,0.8359810488065789
0.2817592323185369,0.23599558852771446,1.1939173697115448
0.47777609705354984,0.3675625381016547,1.2998498147311575
0.2886546234182252,0.24944140673065937,1.1572041194023062
0.3013144940989812,0.27277916919124895,1.1046096188075336
0.26057299606288753,0.24778760796128438,1.0515981739635696
0.2848546362232658,0.2632861606251169,1.0819202784792756
0.20938843996901746,0.21539214580431115,0.9721266260063717
0.27677048776197666,0.23394010195741802,1.1830827012820344
0.3406471585329482,0.28661487209208725,1.1885187814800509
0.26083595279801775,0.24922697465874824,1.046579942460743
0.36895152317804947,0.299201433585877,1.2331208402186775
0.31134654988274746,0.26820880115554546,1.1608364398981248
0.19780074289453314,0.2228536209589384,0.887581462860676
0.2960009017822875,0.24307268425906167,1.2177464641268207
0.17181732004683498,0.20527794598239954,0.8369984375309686
0.2893150487564139,0.26094779900161924,1.1087085227901026
0.31469193681196805,0.28610679068674727,1.099910757296628
0.26093545175242955,0.23951589150223215,1.0894285557248622
0.18720882831185065,0.21158315704730837,0.8848002408338779
0.4030020363428947,0.327221891266643,1.2315864161255057
0.29015247100408054,0.23828735235357243,1.2176578745713296
0.36700688625802647,0.3034013209262797,1.2096416888943
