Ticker,Equal Weight,Optimized Weight
V,0.2,0.365647517252703
JNJ,0.2,0.3714704362926604
AAPL,0.2,0.18240125920068906
JPM,0.2,0.07528656971590618
META,0.2,0.0051942175380412185
