Ticker,Shares,Weight,Actual_Investment
MSFT,40,0.19911243263174838,19758.00048828125
NVDA,88,0.2001830638816498,19864.239624023438
AMZN,77,0.19940155385067573,19786.69009399414
V,54,0.2006095579753526,19906.560791015625
JNJ,74,0.20069339166057348,19914.879638671875
